1,4.91,5.21,4.61,Moving closer
2,7.29,7.59,6.99,Moving closer
3,7.3,7.6,7,Moving closer
4,6.03,6.33,5.73,Moving closer
5,4.14,4.44,3.84,Moving closer
6,3.68,3.98,3.38,Moving closer
7,13.79,14.09,13.49,Object Moving
8,22.19,22.49,21.89,Moving away
9,11.09,11.39,10.79,Object Moving
10,11.15,11.45,10.85,Object Moving
11,9.82,10.12,9.52,Moving closer
12,12.78,13.08,12.48,Object Moving
13,13.55,13.85,13.25,Object Moving
14,15.25,15.55,14.95,Moving away
15,12.36,12.66,12.06,Object Moving
16,13.23,13.53,12.93,Object Moving
17,16.81,17.11,16.51,Moving away
18,18.61,18.91,18.31,Moving away
19,16.38,16.68,16.08,Moving away
20,16.46,16.76,16.16,Moving away
